Diwali Date-2020,,PM-2.5,Day-1,Year,Day,,
26/10/19 21:00,26/10/19 22:00,99.78,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 22:00,26/10/19 23:00,114.51,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 23:00,27/10/19 0:00,120.85,1-Day Pre Diwali,2019,1-Day Pre ,,
27/10/19 0:00,27/10/19 1:00,91.79,Diwali,2019,Diwali,,
27/10/19 1:00,27/10/19 2:00,96.13,Diwali,2019,Diwali,,
27/10/19 2:00,27/10/19 3:00,87.36,Diwali,2019,Diwali,,
27/10/19 3:00,27/10/19 4:00,79.88,Diwali,2019,Diwali,,
27/10/19 4:00,27/10/19 5:00,83.61,Diwali,2019,Diwali,,
27/10/19 5:00,27/10/19 6:00,80.11,Diwali,2019,Diwali,,
27/10/19 6:00,27/10/19 7:00,82.18,Diwali,2019,Diwali,,
27/10/19 7:00,27/10/19 8:00,90.85,Diwali,2019,Diwali,,
27/10/19 8:00,27/10/19 9:00,91.66,Diwali,2019,Diwali,,
27/10/19 9:00,27/10/19 10:00,68.15,Diwali,2019,Diwali,,
27/10/19 10:00,27/10/19 11:00,57.92,Diwali,2019,Diwali,,
27/10/19 11:00,27/10/19 12:00,38.01,Diwali,2019,Diwali,,
27/10/19 12:00,27/10/19 13:00,57.95,Diwali,2019,Diwali,,
27/10/19 13:00,27/10/19 14:00,39.45,Diwali,2019,Diwali,,
27/10/19 14:00,27/10/19 15:00,27.08,Diwali,2019,Diwali,,
27/10/19 15:00,27/10/19 16:00,43.1,Diwali,2019,Diwali,,
27/10/19 16:00,27/10/19 17:00,48.78,Diwali,2019,Diwali,,
27/10/19 17:00,27/10/19 18:00,56.72,Diwali,2019,Diwali,,
27/10/19 18:00,27/10/19 19:00,55.32,Diwali,2019,Diwali,,
27/10/19 19:00,27/10/19 20:00,100.11,Diwali,2019,Diwali,,
27/10/19 20:00,27/10/19 21:00,145.11,Diwali,2019,Diwali,,
27/10/19 21:00,27/10/19 22:00,240.35,Diwali,2019,Diwali,,
27/10/19 22:00,27/10/19 23:00,508.15,Diwali,2019,Diwali,,
27/10/19 23:00,28/10/19 0:00,803.08,Diwali,2019,Diwali,,
28/10/19 1:00,28/10/19 2:00,880.8,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 2:00,28/10/19 3:00,678,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 3:00,28/10/19 4:00,536.5,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 4:00,28/10/19 5:00,377.9,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 5:00,28/10/19 6:00,281.7,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 6:00,28/10/19 7:00,207.7,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 9:00,28/10/19 10:00,111.9,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 10:00,28/10/19 11:00,109.9,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 11:00,28/10/19 12:00,89.9,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 12:00,28/10/19 13:00,79.3,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 13:00,28/10/19 14:00,71.2,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 14:00,28/10/19 15:00,69.4,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 15:00,28/10/19 16:00,70.7,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 16:00,28/10/19 17:00,75,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 17:00,28/10/19 18:00,67.7,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 18:00,28/10/19 19:00,85.7,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 19:00,28/10/19 20:00,88.1,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 20:00,28/10/19 21:00,119.6,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 21:00,28/10/19 22:00,192.3,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 22:00,28/10/19 23:00,242.3,1-Day Post Diwali,2019,1-Day Post ,,
28/10/19 23:00,29/10/19 0:00,301.9,1-Day Post Diwali,2019,1-Day Post ,,
29/10/19 0:00,29/10/19 1:00,446.5,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 1:00,29/10/19 2:00,512.2,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 2:00,29/10/19 3:00,539.7,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 3:00,29/10/19 4:00,510.1,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 4:00,29/10/19 5:00,428.3,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 5:00,29/10/19 6:00,324.9,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 6:00,29/10/19 7:00,263.2,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 7:00,29/10/19 8:00,225.6,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 8:00,29/10/19 9:00,179.6,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 9:00,29/10/19 10:00,137.3,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 10:00,29/10/19 11:00,122.8,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 11:00,29/10/19 12:00,104,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 12:00,29/10/19 13:00,96.1,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 13:00,29/10/19 14:00,85,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 14:00,29/10/19 15:00,81.2,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 15:00,29/10/19 16:00,88.5,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 16:00,29/10/19 17:00,86.5,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 17:00,29/10/19 18:00,94.7,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 18:00,29/10/19 19:00,96,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 19:00,29/10/19 20:00,120.5,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 20:00,29/10/19 21:00,148.3,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 21:00,29/10/19 22:00,200.8,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 22:00,29/10/19 23:00,232.3,2-Day Post Diwali,2019,2-Day Post ,,
29/10/19 23:00,30/10/19 0:00,212.3,2-Day Post Diwali,2019,2-Day Post ,,
30/10/19 0:00,30/10/19 1:00,176.8,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 1:00,30/10/19 2:00,147.7,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 2:00,30/10/19 3:00,122.2,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 3:00,30/10/19 4:00,90.3,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 4:00,30/10/19 5:00,77.5,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 5:00,30/10/19 6:00,84.9,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 6:00,30/10/19 7:00,88.4,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 7:00,30/10/19 8:00,88.2,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 8:00,30/10/19 9:00,92.4,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 9:00,30/10/19 10:00,91.4,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 10:00,30/10/19 11:00,85.4,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 11:00,30/10/19 12:00,81.8,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 12:00,30/10/19 13:00,77.4,3-Day Post Diwali,2019,3-Day Post ,,
30/10/19 13:00,30/10/19 14:00,45.3,3-Day Post Diwali,2019,3-Day Post ,,
